epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.70279,1.58551,3.69157,1.68491,0.02918,0.8221,0.23131,0.13945,1.41929,3.37597,1.52756,0.000217887,0.000217887,0.000217887
2,10.2284,1.48101,2.67828,1.54869,0.45338,0.37665,0.37161,0.20024,1.55103,2.1366,1.67248,0.000438767,0.000438767,0.000438767
3,12.6641,1.424,2.06768,1.503,0.5713,0.56099,0.54668,0.31166,1.48893,1.64485,1.61186,0.00065818,0.00065818,0.00065818
4,15.0796,1.40484,1.83289,1.48551,0.62234,0.60231,0.612,0.35444,1.45426,1.51202,1.61562,0.000660397,0.000660397,0.000660397
5,17.4767,1.38878,1.6998,1.47192,0.66075,0.63623,0.6681,0.39481,1.42847,1.46078,1.5767,0.000658196,0.000658196,0.000658196
6,19.8752,1.3479,1.58505,1.41614,0.70727,0.66057,0.71988,0.42509,1.37992,1.30798,1.51826,0.000655994,0.000655994,0.000655994
7,22.2558,1.33379,1.51705,1.4251,0.75649,0.6464,0.7402,0.45095,1.37197,1.25559,1.53055,0.000653793,0.000653793,0.000653793
8,24.6476,1.3026,1.43008,1.39692,0.83092,0.62685,0.76129,0.46061,1.40205,1.2526,1.56558,0.000651592,0.000651592,0.000651592
9,27.0118,1.28952,1.38689,1.38747,0.80425,0.64701,0.75812,0.4557,1.40462,1.24572,1.53813,0.000649391,0.000649391,0.000649391
10,29.3982,1.2792,1.35797,1.36761,0.77964,0.68736,0.76014,0.4623,1.38084,1.21542,1.54123,0.00064719,0.00064719,0.00064719
11,31.7797,1.25128,1.29589,1.35906,0.74485,0.71334,0.78256,0.4904,1.35323,1.16514,1.51856,0.000644989,0.000644989,0.000644989
12,34.1463,1.24676,1.28217,1.35925,0.81768,0.72036,0.79484,0.49436,1.3891,1.14229,1.50762,0.000642788,0.000642788,0.000642788
13,36.5163,1.23659,1.22775,1.33488,0.79006,0.70761,0.78544,0.48479,1.37902,1.1494,1.50746,0.000640587,0.000640587,0.000640587
14,38.8874,1.22578,1.18727,1.34093,0.79391,0.71411,0.80145,0.49465,1.38091,1.1286,1.52137,0.000638386,0.000638386,0.000638386
15,41.2564,1.22894,1.15108,1.32832,0.80635,0.73598,0.82113,0.5069,1.37581,1.07523,1.51991,0.000636185,0.000636185,0.000636185
16,43.6286,1.19658,1.1198,1.31995,0.79179,0.72721,0.81842,0.50698,1.36365,1.06197,1.50389,0.000633983,0.000633983,0.000633983
17,45.9834,1.18523,1.09839,1.30016,0.85496,0.70144,0.80177,0.50144,1.3499,1.08691,1.50141,0.000631782,0.000631782,0.000631782
18,48.3432,1.1966,1.0836,1.30698,0.77577,0.77197,0.83564,0.524,1.32968,1.032,1.47494,0.000629581,0.000629581,0.000629581
19,50.6994,1.18699,1.09131,1.30125,0.83,0.77456,0.84017,0.53163,1.33803,1.01843,1.49273,0.00062738,0.00062738,0.00062738
20,53.0643,1.1578,1.0305,1.28754,0.82772,0.75408,0.83265,0.52146,1.34429,1.00496,1.49291,0.000625179,0.000625179,0.000625179
21,55.4159,1.16608,1.01912,1.29025,0.87301,0.72502,0.84115,0.52802,1.36529,0.99636,1.50027,0.000622978,0.000622978,0.000622978
22,57.7906,1.15498,0.99614,1.28357,0.85329,0.75804,0.84612,0.5299,1.32884,0.9943,1.47746,0.000620777,0.000620777,0.000620777
23,60.1497,1.14681,0.9792,1.26556,0.88063,0.74002,0.84728,0.52652,1.34345,0.96872,1.48647,0.000618576,0.000618576,0.000618576
24,62.5261,1.15054,0.98826,1.28756,0.83653,0.7483,0.84297,0.52753,1.36447,0.97093,1.49275,0.000616375,0.000616375,0.000616375
25,64.8822,1.15531,0.96896,1.27926,0.84063,0.72199,0.81918,0.51486,1.34186,0.99182,1.48076,0.000614174,0.000614174,0.000614174
26,67.3169,1.12152,0.93705,1.26179,0.83775,0.74664,0.82826,0.52546,1.33765,0.99512,1.49804,0.000611972,0.000611972,0.000611972
27,69.7522,1.13124,0.93226,1.26224,0.86795,0.73595,0.83564,0.53574,1.36143,0.96576,1.51076,0.000609771,0.000609771,0.000609771
28,72.2008,1.12427,0.92486,1.26267,0.84832,0.7253,0.82267,0.51744,1.33782,0.9876,1.48881,0.00060757,0.00060757,0.00060757
29,74.6146,1.11649,0.91895,1.26289,0.84695,0.74172,0.82513,0.53191,1.33264,0.9708,1.47603,0.000605369,0.000605369,0.000605369
30,77.0185,1.10531,0.89888,1.23776,0.83382,0.74865,0.83456,0.52939,1.36187,0.9466,1.49899,0.000603168,0.000603168,0.000603168
31,79.3176,1.10098,0.87742,1.24568,0.86466,0.73836,0.82837,0.52551,1.36152,0.958,1.50121,0.000600967,0.000600967,0.000600967
32,81.7165,1.09493,0.87622,1.24732,0.842,0.77534,0.83509,0.52902,1.35111,0.9594,1.49874,0.000598766,0.000598766,0.000598766
33,84.1247,1.11778,0.89168,1.25887,0.8317,0.7392,0.82677,0.5218,1.37194,0.96375,1.51451,0.000596565,0.000596565,0.000596565
34,86.6043,1.09185,0.85248,1.24198,0.85882,0.77977,0.8516,0.53437,1.37427,0.93175,1.50943,0.000594364,0.000594364,0.000594364
35,88.9996,1.07297,0.84121,1.22449,0.86383,0.79342,0.85388,0.54598,1.33454,0.91483,1.49005,0.000592163,0.000592163,0.000592163
36,91.4325,1.09309,0.83563,1.22605,0.87539,0.75913,0.84323,0.54169,1.32861,0.89719,1.4673,0.000589961,0.000589961,0.000589961
37,93.8611,1.08242,0.82515,1.21621,0.84046,0.79484,0.85558,0.55443,1.31908,0.88885,1.45944,0.00058776,0.00058776,0.00058776
38,96.2832,1.05023,0.78905,1.19934,0.84035,0.75843,0.84849,0.54687,1.35846,0.93179,1.49024,0.000585559,0.000585559,0.000585559
39,98.7116,1.06666,0.81093,1.23122,0.8509,0.78086,0.85818,0.55175,1.34808,0.88136,1.47614,0.000583358,0.000583358,0.000583358
40,101.164,1.05548,0.78775,1.2117,0.85198,0.77602,0.85665,0.54804,1.35343,0.90485,1.50187,0.000581157,0.000581157,0.000581157
41,103.558,1.0619,0.79484,1.21751,0.8445,0.80598,0.85382,0.54475,1.34822,0.89411,1.48744,0.000578956,0.000578956,0.000578956
42,106.013,1.05133,0.77515,1.20798,0.84206,0.79052,0.84523,0.54709,1.34183,0.91164,1.48784,0.000576755,0.000576755,0.000576755
43,108.474,1.08804,0.83666,1.24095,0.83284,0.76666,0.84066,0.53447,1.3797,0.90133,1.5156,0.000574554,0.000574554,0.000574554
44,110.984,1.03455,0.77384,1.19264,0.85626,0.78581,0.8584,0.5374,1.35097,0.91158,1.50466,0.000572353,0.000572353,0.000572353
45,113.509,1.03992,0.77243,1.19695,0.83129,0.78633,0.85277,0.54564,1.34897,0.92235,1.48682,0.000570152,0.000570152,0.000570152
46,115.885,1.02724,0.76623,1.1926,0.79207,0.78647,0.85208,0.55365,1.33211,0.86842,1.49301,0.00056795,0.00056795,0.00056795
47,118.134,1.02712,0.74719,1.19328,0.81694,0.78996,0.85983,0.5495,1.36047,0.87726,1.51832,0.000565749,0.000565749,0.000565749
48,120.493,1.02911,0.7604,1.19765,0.8495,0.78688,0.85137,0.55062,1.34748,0.87993,1.49638,0.000563548,0.000563548,0.000563548
49,122.835,1.03415,0.75508,1.19384,0.79878,0.76987,0.84035,0.53584,1.39186,0.92048,1.53444,0.000561347,0.000561347,0.000561347
50,125.262,1.00569,0.72824,1.17116,0.87429,0.79197,0.86916,0.56129,1.35311,0.85802,1.4978,0.000559146,0.000559146,0.000559146
51,127.675,1.00019,0.71672,1.17089,0.85742,0.79057,0.87203,0.55943,1.35054,0.84999,1.50167,0.000556945,0.000556945,0.000556945
52,130.033,0.99251,0.71995,1.17499,0.84242,0.79203,0.86357,0.55352,1.35349,0.85287,1.50711,0.000554744,0.000554744,0.000554744
